Genero,Especie,Ameaca
Aegla,Aegla renana,9 - Poluição
Aegla,Aegla renana,9.1 - Doméstica e urbana - escoamento de água
Aegla,Aegla brevipalma,2 - Agropecuária e Aquacultura
Aegla,Aegla brevipalma,2.2 - Silvicultura
Aegla,Aegla brevipalma,2.2.1 - Plantações em pequenas propriedades 2 - Agropecuária e Aquacultura
Aegla,Aegla brevipalma,2.3 - Pecuária
Aegla,Aegla brevipalma,2.3.2 - Pecuária em pequenas propriedades 9 - Poluição
Aegla,Aegla brevipalma,9.3 - Agropecuária e florestal
Aegla,Aegla brevipalma,9.3.1 - Acúmulo de nutrientes 9 - Poluição
Aegla,Aegla brevipalma,9.3 - Agropecuária e florestal
Aegla,Aegla brevipalma,9.3.2 - Erosão do solo/sedimentação
Aegla,Aegla camargoi,2 - Agropecuária e Aquacultura
Aegla,Aegla camargoi,2.2 - Silvicultura
Aegla,Aegla camargoi,2.2.3 - Plantações em escala desconhecida 2 - Agropecuária e Aquacultura
Aegla,Aegla camargoi,2.3 - Pecuária
Aegla,Aegla camargoi,2.3.4 - Pecuária em escala desconhecida
Aegla,Aegla franca,1 - Desenvolvimento residencial e comercial
Aegla,Aegla franca,1.2 - Áreas comerciais e industriais 2 - Agropecuária e Aquacultura
Aegla,Aegla franca,2.3 - Pecuária 4 - Transportes e serviços de transmissão
Aegla,Aegla franca,4.1 - Estradas e ferrovias
Aegla,Aegla inconspicua,1 - Desenvolvimento residencial e comercial
Aegla,Aegla inconspicua,1.1 - Expansão urbana 2 - Agropecuária e Aquacultura
Aegla,Aegla inconspicua,2.1 - Culturas anuais e perenes não-madeireiras
Aegla,Aegla inconspicua,2.1.4 - Agricultura de escala desconhecida
Aegla,Aegla inermis,2 - Agropecuária e Aquacultura
Aegla,Aegla inermis,2.1 - Culturas anuais e perenes não-madeireiras
Aegla,Aegla inermis,2.1.4 - Agricultura de escala desconhecida 4 - Transportes e serviços de transmissão
Aegla,Aegla inermis,4.1 - Estradas e ferrovias 9 - Poluição
Aegla,Aegla inermis,9.3 - Agropecuária e florestal
Aegla,Aegla inermis,9.3.3 - Herbicidas e pesticidas
Aegla,Aegla itacolomiensis,1 - Desenvolvimento residencial e comercial
Aegla,Aegla itacolomiensis,1.1 - Expansão urbana 2 - Agropecuária e Aquacultura
Aegla,Aegla itacolomiensis,2.1 - Culturas anuais e perenes não-madeireiras
Aegla,Aegla itacolomiensis,2.1.4 - Agricultura de escala desconhecida
Aegla,Aegla leachi,2 - Agropecuária e Aquacultura
Aegla,Aegla leachi,2.2 - Silvicultura
Aegla,Aegla leachi,2.2.2 - Plantações agro-industriais 7 - Modificações nos sistemas naturais
Aegla,Aegla leachi,7.1 - Incêndios e supressão de incêndios
Aegla,Aegla leachi,7.1.1 - Aumento da frequência/intensidade de incêndios
Aegla,Aegla manuinflata,2 - Agropecuária e Aquacultura
Aegla,Aegla manuinflata,2.3 - Pecuária
Aegla,Aegla manuinflata,2.3.4 - Pecuária em escala desconhecida
Aegla,Aegla oblata,2 - Agropecuária e Aquacultura
Aegla,Aegla oblata,2.1 - Culturas anuais e perenes não-madeireiras
Aegla,Aegla oblata,2.1.4 - Agricultura de escala desconhecida 9 - Poluição
Aegla,Aegla oblata,9.3 - Agropecuária e florestal
Aegla,Aegla oblata,9.3.3 - Herbicidas e pesticidas
Aegla,Aegla obstipa,2 - Agropecuária e Aquacultura
Aegla,Aegla obstipa,2.2 - Silvicultura
Aegla,Aegla obstipa,2.2.3 - Plantações em escala desconhecida 9 - Poluição
Aegla,Aegla obstipa,9.3 - Agropecuária e florestal
Aegla,Aegla obstipa,9.3.2 - Erosão do solo/sedimentação
Aegla,Aegla perobae,2 - Agropecuária e Aquacultura 7 - Modificações nos sistemas naturais 9 - Poluição
Aegla,Aegla perobae,9.3 - Agrícola e florestal 9 - Poluição
Aegla,Aegla perobae,9.4 - Lixo e resíduos sólidos
Aegla,Aegla violacea,2 - Agropecuária e Aquacultura
Aegla,Aegla violacea,2.1 - Culturas anuais e perenes não-madeireiras
Aegla,Aegla violacea,2.1.4 - Agricultura de escala desconhecida 2 - Agropecuária e Aquacultura
Aegla,Aegla violacea,2.2 - Silvicultura
Aegla,Aegla violacea,2.2.3 - Plantações em escala desconhecida 2 - Agropecuária e Aquacultura
Aegla,Aegla violacea,2.3 - Pecuária
Aegla,Aegla violacea,2.3.4 - Pecuária em escala desconhecida 9 - Poluição
Aegla,Aegla violacea,9.3 - Agropecuária e florestal
Aegla,Aegla violacea,9.3.3 - Herbicidas e pesticidas
Aburria,Aburria jacutinga,1 - Desenvolvimento residencial e comercial
Aburria,Aburria jacutinga,1.1 - Expansão urbana 3 - Produção energética e mineração
Aburria,Aburria jacutinga,3.3 - Energia renovável
Aburria,Aburria jacutinga,3.3.1 - Hidrelétricas 5 - Uso de recursos biológicos
Aburria,Aburria jacutinga,5.1 - Caça e captura de animais terrestres ou marinhos
Aburria,Aburria jacutinga,5.1.1 - Caça/captura intencional (a espécie é o alvo)
Aburria,Aburria jacutinga,5.1.1.1 - Uso de subsistência/escambo local 5 - Uso de recursos biológicos
Aburria,Aburria jacutinga,5.3 - Extração florestal
Aburria,Aburria jacutinga,5.3.3 - Efeitos indiretos - subsistência/pequena escala
Acrobatornis,Acrobatornis fonsecai,1 - Desenvolvimento residencial e comercial
Acrobatornis,Acrobatornis fonsecai,1.1 - Expansão urbana 2 - Agropecuária e Aquacultura
Acrobatornis,Acrobatornis fonsecai,2.1 - Culturas anuais e perenes não-madeireiras
Acrobatornis,Acrobatornis fonsecai,2.1.4 - Agricultura de escala desconhecida 2 - Agropecuária e Aquacultura
Acrobatornis,Acrobatornis fonsecai,2.2 - Silvicultura
Acrobatornis,Acrobatornis fonsecai,2.2.3 - Plantações em escala desconhecida 2 - Agropecuária e Aquacultura
Acrobatornis,Acrobatornis fonsecai,2.3 - Pecuária
Acrobatornis,Acrobatornis fonsecai,2.3.4 - Pecuária em escala desconhecida
Amadonastur,Amadonastur lacernulatus,1 - Desenvolvimento residencial e comercial
